"elimfilters_sku","source_sku","reason"
"EA51410","C291410","Duplicate (2 instances collapsed to 1)"
"EA54202","C291420/2","Duplicate (2 instances collapsed to 1)"
"EA52982","C2982","Duplicate (2 instances collapsed to 1)"
"EA50012","C30012","Duplicate (3 instances collapsed to 1)"
"EA50013","C30013","Duplicate (2 instances collapsed to 1)"
"EA50035","C30035","Duplicate (2 instances collapsed to 1)"
"EA51254","C30125/4","Duplicate (2 instances collapsed to 1)"
"EA51345","C301345","Duplicate (2 instances collapsed to 1)"
"EA55001","C301500/1","Duplicate (6 instances collapsed to 1)"
"EA51531","C30153/1","Duplicate (2 instances collapsed to 1)"
"EA50163","C30163","Duplicate (2 instances collapsed to 1)"
"EA50171","C30171","Duplicate (2 instances collapsed to 1)"
"EA50323","C3032/3","Duplicate (2 instances collapsed to 1)"
"EA54001","C30400/1","Duplicate (2 instances collapsed to 1)"
"EA50421","C3042/1","Duplicate (2 instances collapsed to 1)"
"EA53054","C3054","Duplicate (2 instances collapsed to 1)"
"EA50630","C30630","Duplicate (2 instances collapsed to 1)"
"EA50825","C3082/5","Duplicate (2 instances collapsed to 1)"
"EA50901","C3090/1","Duplicate (2 instances collapsed to 1)"
"EA50931","C3093/1","Duplicate (2 instances collapsed to 1)"
"EA51027","C31027","Duplicate (2 instances collapsed to 1)"
"EA51195","C311195","Duplicate (2 instances collapsed to 1)"
"EA51123","C31123","Duplicate (2 instances collapsed to 1)"
"EA51130","C31130","Duplicate (3 instances collapsed to 1)"
"EA51900","C311900","Duplicate (2 instances collapsed to 1)"
"EA53132","C3132","Duplicate (2 instances collapsed to 1)"
"EA51700","C31700","Duplicate (2 instances collapsed to 1)"
"EA52008","C32008","Duplicate (2 instances collapsed to 1)"
"EA52043","C32043","Duplicate (2 instances collapsed to 1)"
"EA53210","C3210","Duplicate (2 instances collapsed to 1)"
"EA53381","C32338/1","Duplicate (2 instances collapsed to 1)"
"EA52842","C3284/2","Duplicate (2 instances collapsed to 1)"
"EA53102","C33102","Duplicate (2 instances collapsed to 1)"
"EA54651","C331465/1","Duplicate (2 instances collapsed to 1)"
"EA56002","C331600/2","Duplicate (2 instances collapsed to 1)"
"EA58401","C331840/1","Duplicate (2 instances collapsed to 1)"
"EA53280","C33280","Duplicate (3 instances collapsed to 1)"
"EA53300","C33300","Duplicate (2 instances collapsed to 1)"
"EA53530","C33530","Duplicate (2 instances collapsed to 1)"
"EA53540","C33540","Duplicate (3 instances collapsed to 1)"
"EA50051","C34005/1","Duplicate (3 instances collapsed to 1)"
"EA54360","C34360","Duplicate (2 instances collapsed to 1)"
"EA53461","C3461","Duplicate (2 instances collapsed to 1)"
"EA55012","C35012","Duplicate (2 instances collapsed to 1)"
"EA55177","C35177","Duplicate (2 instances collapsed to 1)"
"EA53569","C3569","Duplicate (2 instances collapsed to 1)"
"EA56009","C36009","Duplicate (3 instances collapsed to 1)"
"EA53689","C3689","Duplicate (2 instances collapsed to 1)"
"EA57005","C37005","Duplicate (2 instances collapsed to 1)"
"EA58001","C38001","Duplicate (3 instances collapsed to 1)"
"EA58002","C38002","Duplicate (2 instances collapsed to 1)"
"EA59001","C39001","Duplicate (3 instances collapsed to 1)"
"EA50001","C40001","Duplicate (4 instances collapsed to 1)"
"EA53139","C43139","Duplicate (2 instances collapsed to 1)"
"EA53265","C453265","Duplicate (2 instances collapsed to 1)"
"EA50041","C50004/1","Duplicate (3 instances collapsed to 1)"
"EA50821","C5082/1","Duplicate (2 instances collapsed to 1)"
"EA50148","C60148","Duplicate (2 instances collapsed to 1)"
"EA59004","C9004","Duplicate (2 instances collapsed to 1)"
"EA59007","C9007","Duplicate (2 instances collapsed to 1)"
"EA50934","C934","Duplicate (2 instances collapsed to 1)"
"EC57001","CF07001","Duplicate (9 instances collapsed to 1)"
"EC50100","CF100","Duplicate (2 instances collapsed to 1)"
"EC50001","CF10001","Duplicate (8 instances collapsed to 1)"
"EC50002","CF10002","Duplicate (3 instances collapsed to 1)"
"EC50006","CF10006","Duplicate (3 instances collapsed to 1)"
"EC50010","CF10010","Duplicate (3 instances collapsed to 1)"
"EC50011","CF10011","Duplicate (2 instances collapsed to 1)"
"EC50013","CF10013","Duplicate (2 instances collapsed to 1)"
"EC51005","CF1005","Duplicate (3 instances collapsed to 1)"
"EC51004","CF11004","Duplicate (4 instances collapsed to 1)"
"EC51006","CF11006","Duplicate (3 instances collapsed to 1)"
"EC51010","CF11010","Duplicate (2 instances collapsed to 1)"
"EC52004","CF12004","Duplicate (3 instances collapsed to 1)"
"EC52008","CF12008","Duplicate (4 instances collapsed to 1)"
"EC53003","CF13003","Duplicate (4 instances collapsed to 1)"
"EC53007","CF13007","Duplicate (4 instances collapsed to 1)"
"EC51313","CF1313","Duplicate (2 instances collapsed to 1)"
"EC54002","CF14002","Duplicate (3 instances collapsed to 1)"
